"Machine ID","Name","Date","Check In","Check Out","Status","Late","Work Hours","Teacher"
"19","Employee 19","2026-07-09","","","absent","No","","—"
"19","Employee 19","2026-07-10","10:13","","half_day","Yes","","—"
"20","Employee 20","2026-07-01","","","absent","No","","—"
"20","Employee 20","2026-07-02","09:37","12:41","present","No","3.07","—"
"20","Employee 20","2026-07-03","09:36","15:06","present","No","5.5","—"
"20","Employee 20","2026-07-04","09:46","15:02","present","No","5.27","—"
"20","Employee 20","2026-07-05","","","absent","No","","—"
"20","Employee 20","2026-07-06","09:36","","half_day","No","","—"
"20","Employee 20","2026-07-07","09:42","15:09","present","No","5.45","—"
"20","Employee 20","2026-07-08","09:39","15:04","present","No","5.42","—"
"20","Employee 20","2026-07-09","","","absent","No","","—"
"20","Employee 20","2026-07-10","09:51","","half_day","No","","—"
"21","Employee 21","2026-07-01","","","absent","No","","—"
"21","Employee 21","2026-07-02","10:00","","half_day","Yes","","—"
"21","Employee 21","2026-07-03","09:56","09:57","present","No","0.02","—"
"21","Employee 21","2026-07-04","09:43","","half_day","No","","—"
"21","Employee 21","2026-07-05","","","absent","No","","—"
"21","Employee 21","2026-07-06","09:44","","half_day","No","","—"
"21","Employee 21","2026-07-07","09:41","","half_day","No","","—"
"21","Employee 21","2026-07-08","","","absent","No","","—"
"21","Employee 21","2026-07-09","","","absent","No","","—"
"21","Employee 21","2026-07-10","","","absent","No","","—"
"22","Employee 22","2026-07-01","15:04","","half_day","Yes","","—"
"22","Employee 22","2026-07-02","11:11","15:00","present","Yes","3.82","—"
"22","Employee 22","2026-07-03","11:19","15:01","present","Yes","3.7","—"
"22","Employee 22","2026-07-04","14:57","","half_day","Yes","","—"
"22","Employee 22","2026-07-05","","","absent","No","","—"
"22","Employee 22","2026-07-06","11:17","","half_day","Yes","","—"
"22","Employee 22","2026-07-07","15:03","","half_day","Yes","","—"
"22","Employee 22","2026-07-08","14:59","","half_day","Yes","","—"
"22","Employee 22","2026-07-09","11:23","15:02","present","Yes","3.65","—"
"22","Employee 22","2026-07-10","","","absent","No","","—"
"23","Employee 23","2026-07-01","","","absent","No","","—"
"23","Employee 23","2026-07-02","09:36","09:37","present","No","0.02","—"
"23","Employee 23","2026-07-03","09:36","15:40","present","No","6.07","—"
"23","Employee 23","2026-07-04","09:39","","half_day","No","","—"
"23","Employee 23","2026-07-05","","","absent","No","","—"
"23","Employee 23","2026-07-06","09:37","","half_day","No","","—"
"23","Employee 23","2026-07-07","09:40","","half_day","No","","—"
"23","Employee 23","2026-07-08","09:47","09:47","present","No","","—"
"23","Employee 23","2026-07-09","09:47","","half_day","No","","—"
"23","Employee 23","2026-07-10","09:47","","half_day","No","","—"
"24","Employee 24","2026-07-01","","","absent","No","","—"
"24","Employee 24","2026-07-02","09:40","","half_day","No","","—"
"24","Employee 24","2026-07-03","09:37","15:06","present","No","5.48","—"
"24","Employee 24","2026-07-04","09:26","15:02","present","No","5.6","—"
"24","Employee 24","2026-07-05","","","absent","No","","—"
"24","Employee 24","2026-07-06","09:32","","half_day","No","","—"
"24","Employee 24","2026-07-07","09:30","15:12","present","No","5.7","—"
"24","Employee 24","2026-07-08","09:26","15:05","present","No","5.65","—"
"24","Employee 24","2026-07-09","09:27","15:05","present","No","5.63","—"
"24","Employee 24","2026-07-10","","","absent","No","","—"
"25","Employee 25","2026-07-01","","","absent","No","","—"
"25","Employee 25","2026-07-02","","","absent","No","","—"
"25","Employee 25","2026-07-03","09:45","15:08","present","No","5.38","—"
"25","Employee 25","2026-07-04","09:43","15:02","present","No","5.32","—"
"25","Employee 25","2026-07-05","","","absent","No","","—"
"25","Employee 25","2026-07-06","09:45","","half_day","No","","—"
"25","Employee 25","2026-07-07","09:39","15:12","present","No","5.55","—"
"25","Employee 25","2026-07-08","09:51","15:04","present","No","5.22","—"
"25","Employee 25","2026-07-09","09:54","15:05","present","No","5.18","—"
"25","Employee 25","2026-07-10","09:48","","half_day","No","","—"
"26","Employee 26","2026-07-01","","","absent","No","","—"
"26","Employee 26","2026-07-02","10:23","15:01","present","Yes","4.63","—"
"26","Employee 26","2026-07-03","09:55","15:01","present","No","5.1","—"
"26","Employee 26","2026-07-04","09:48","14:57","present","No","5.15","—"
"26","Employee 26","2026-07-05","","","absent","No","","—"
"26","Employee 26","2026-07-06","09:51","","half_day","No","","—"
"26","Employee 26","2026-07-07","09:45","15:02","present","No","5.28","—"
"26","Employee 26","2026-07-08","09:50","14:59","present","No","5.15","—"
"26","Employee 26","2026-07-09","10:03","15:02","present","Yes","4.98","—"
"26","Employee 26","2026-07-10","09:46","","half_day","No","","—"
"27","Employee 27","2026-07-01","","","absent","No","","—"
"27","Employee 27","2026-07-02","10:23","15:00","present","Yes","4.62","—"
"27","Employee 27","2026-07-03","09:55","15:00","present","No","5.08","—"
"27","Employee 27","2026-07-04","09:39","14:56","present","No","5.28","—"
"27","Employee 27","2026-07-05","","","absent","No","","—"
"27","Employee 27","2026-07-06","09:51","","half_day","No","","—"
"27","Employee 27","2026-07-07","09:45","15:02","present","No","5.28","—"
"27","Employee 27","2026-07-08","09:50","14:59","present","No","5.15","—"
"27","Employee 27","2026-07-09","10:04","15:02","present","Yes","4.97","—"
"27","Employee 27","2026-07-10","09:46","","half_day","No","","—"
"28","Employee 28","2026-07-01","","","absent","No","","—"
"28","Employee 28","2026-07-02","10:25","15:02","present","Yes","4.62","—"
"28","Employee 28","2026-07-03","09:30","15:01","present","No","5.52","—"
"28","Employee 28","2026-07-04","09:42","14:56","present","No","5.23","—"
"28","Employee 28","2026-07-05","","","absent","No","","—"
"28","Employee 28","2026-07-06","09:45","","half_day","No","","—"
"28","Employee 28","2026-07-07","09:48","15:02","present","No","5.23","—"
"28","Employee 28","2026-07-08","09:46","14:59","present","No","5.22","—"
"28","Employee 28","2026-07-09","","","absent","No","","—"
"28","Employee 28","2026-07-10","","","absent","No","","—"
"29","Employee 29","2026-07-01","","","absent","No","","—"
"29","Employee 29","2026-07-02","","","absent","No","","—"
"29","Employee 29","2026-07-03","","","absent","No","","—"
"29","Employee 29","2026-07-04","09:35","15:02","present","No","5.45","—"
"29","Employee 29","2026-07-05","","","absent","No","","—"
"29","Employee 29","2026-07-06","09:41","","half_day","No","","—"
"29","Employee 29","2026-07-07","09:38","15:09","present","No","5.52","—"
"29","Employee 29","2026-07-08","09:41","15:04","present","No","5.38","—"
"29","Employee 29","2026-07-09","09:36","15:09","present","No","5.55","—"
"29","Employee 29","2026-07-10","09:35","","half_day","No","","—"
"30","Employee 30","2026-07-01","","","absent","No","","—"
"30","Employee 30","2026-07-02","","","absent","No","","—"
"30","Employee 30","2026-07-03","","","absent","No","","—"
"30","Employee 30","2026-07-04","09:49","15:03","present","No","5.23","—"
"30","Employee 30","2026-07-05","","","absent","No","","—"
"30","Employee 30","2026-07-06","09:53","","half_day","No","","—"
"30","Employee 30","2026-07-07","09:40","15:18","present","No","5.63","—"
"30","Employee 30","2026-07-08","09:45","15:04","present","No","5.32","—"
"30","Employee 30","2026-07-09","09:52","15:14","present","No","5.37","—"
"30","Employee 30","2026-07-10","09:47","","half_day","No","","—"
"31","Employee 31","2026-07-01","","","absent","No","","—"
"31","Employee 31","2026-07-02","","","absent","No","","—"
"31","Employee 31","2026-07-03","","","absent","No","","—"
"31","Employee 31","2026-07-04","09:39","15:02","present","No","5.38","—"
"31","Employee 31","2026-07-05","","","absent","No","","—"
"31","Employee 31","2026-07-06","09:41","","half_day","No","","—"
"31","Employee 31","2026-07-07","09:43","15:08","present","No","5.42","—"
"31","Employee 31","2026-07-08","09:45","15:04","present","No","5.32","—"
"31","Employee 31","2026-07-09","","","absent","No","","—"
"31","Employee 31","2026-07-10","09:41","","half_day","No","","—"
"32","Employee 32","2026-07-01","","","absent","No","","—"
"32","Employee 32","2026-07-02","","","absent","No","","—"
"32","Employee 32","2026-07-03","","","absent","No","","—"
"32","Employee 32","2026-07-04","09:34","15:02","present","No","5.47","—"
"32","Employee 32","2026-07-05","","","absent","No","","—"
"32","Employee 32","2026-07-06","","","absent","No","","—"
"32","Employee 32","2026-07-07","09:32","15:09","present","No","5.62","—"
"32","Employee 32","2026-07-08","09:29","15:05","present","No","5.6","—"
"32","Employee 32","2026-07-09","09:24","15:05","present","No","5.68","—"
"32","Employee 32","2026-07-10","09:21","","half_day","No","","—"
"33","Employee 33","2026-07-01","","","absent","No","","—"
"33","Employee 33","2026-07-02","","","absent","No","","—"
"33","Employee 33","2026-07-03","","","absent","No","","—"
"33","Employee 33","2026-07-04","","","absent","No","","—"
"33","Employee 33","2026-07-05","","","absent","No","","—"
"33","Employee 33","2026-07-06","","","absent","No","","—"
"33","Employee 33","2026-07-07","","","absent","No","","—"
"33","Employee 33","2026-07-08","09:47","15:00","present","No","5.22","—"
"33","Employee 33","2026-07-09","09:49","15:08","present","No","5.32","—"
"33","Employee 33","2026-07-10","09:38","","half_day","No","","—"
"34","Employee 34","2026-07-01","","","absent","No","","—"
"34","Employee 34","2026-07-02","","","absent","No","","—"
"34","Employee 34","2026-07-03","","","absent","No","","—"
"34","Employee 34","2026-07-04","","","absent","No","","—"
"34","Employee 34","2026-07-05","","","absent","No","","—"
"34","Employee 34","2026-07-06","","","absent","No","","—"
"34","Employee 34","2026-07-07","","","absent","No","","—"
"34","Employee 34","2026-07-08","09:44","14:59","present","No","5.25","—"
"34","Employee 34","2026-07-09","09:45","15:02","present","No","5.28","—"
"34","Employee 34","2026-07-10","09:45","","half_day","No","","—"
"35","Employee 35","2026-07-01","","","absent","No","","—"
"35","Employee 35","2026-07-02","","","absent","No","","—"
"35","Employee 35","2026-07-03","","","absent","No","","—"
"35","Employee 35","2026-07-04","","","absent","No","","—"
"35","Employee 35","2026-07-05","","","absent","No","","—"
"35","Employee 35","2026-07-06","","","absent","No","","—"
"35","Employee 35","2026-07-07","","","absent","No","","—"
"35","Employee 35","2026-07-08","08:46","15:00","present","No","6.23","—"
"35","Employee 35","2026-07-09","08:44","15:04","present","No","6.33","—"
"35","Employee 35","2026-07-10","08:59","","half_day","No","","—"
"36","Employee 36","2026-07-01","","","absent","No","","—"
"36","Employee 36","2026-07-02","","","absent","No","","—"
"36","Employee 36","2026-07-03","","","absent","No","","—"
"36","Employee 36","2026-07-04","","","absent","No","","—"
"36","Employee 36","2026-07-05","","","absent","No","","—"
"36","Employee 36","2026-07-06","","","absent","No","","—"
"36","Employee 36","2026-07-07","","","absent","No","","—"
"36","Employee 36","2026-07-08","","","absent","No","","—"
"36","Employee 36","2026-07-09","","","absent","No","","—"
"36","Employee 36","2026-07-10","","","absent","No","","—"
"38","Employee 38","2026-07-01","","","absent","No","","—"
"38","Employee 38","2026-07-02","","","absent","No","","—"
"38","Employee 38","2026-07-03","","","absent","No","","—"
"38","Employee 38","2026-07-04","","","absent","No","","—"
"38","Employee 38","2026-07-05","","","absent","No","","—"
"38","Employee 38","2026-07-06","","","absent","No","","—"
"38","Employee 38","2026-07-07","","","absent","No","","—"
"38","Employee 38","2026-07-08","","","absent","No","","—"
"38","Employee 38","2026-07-09","","","absent","No","","—"
"38","Employee 38","2026-07-10","09:35","","half_day","No","","—"
